Source,Type_Voltage
consumer_device_10_data_user_1,{'red'}
consumer_device_10_data_user_10,{'red'}
consumer_device_10_data_user_11,{'blue'}
consumer_device_10_data_user_12,{'yellow'}
consumer_device_10_data_user_13,{'red'}
consumer_device_10_data_user_14,{'blue'}
consumer_device_10_data_user_15,{'yellow'}
consumer_device_10_data_user_16,{'red'}
consumer_device_10_data_user_17,{'blue'}
consumer_device_10_data_user_18,{'yellow'}
consumer_device_10_data_user_2,{'blue'}
consumer_device_10_data_user_3,{'yellow'}
consumer_device_10_data_user_4,{'red'}
consumer_device_10_data_user_5,{'blue'}
consumer_device_10_data_user_6,{'yellow'}
consumer_device_10_data_user_7,{'red'}
consumer_device_10_data_user_8,{'blue'}
consumer_device_10_data_user_9,{'yellow'}
consumer_device_12_data_user_1,{'red'}
consumer_device_12_data_user_10,{'blue'}
consumer_device_12_data_user_11,{'blue'}
consumer_device_12_data_user_12,{'yellow'}
consumer_device_12_data_user_13,{'red'}
consumer_device_12_data_user_14,{'blue'}
consumer_device_12_data_user_15,{'yellow'}
consumer_device_12_data_user_2,{'blue'}
consumer_device_12_data_user_3,{'yellow'}
consumer_device_12_data_user_4,{'red'}
consumer_device_12_data_user_5,{'blue'}
consumer_device_12_data_user_6,{'yellow'}
consumer_device_12_data_user_7,{'blue'}
consumer_device_12_data_user_8,{'yellow'}
consumer_device_12_data_user_9,{'red'}
consumer_device_13_data_user_1,{'red'}
consumer_device_13_data_user_10,{'red'}
consumer_device_13_data_user_11,{'blue'}
consumer_device_13_data_user_12,{'yellow'}
consumer_device_13_data_user_13,{'red'}
consumer_device_13_data_user_14,{'blue'}
consumer_device_13_data_user_15,{'yellow'}
consumer_device_13_data_user_16,{'red'}
consumer_device_13_data_user_17,{'blue'}
consumer_device_13_data_user_18,{'yellow'}
consumer_device_13_data_user_2,{'blue'}
consumer_device_13_data_user_3,{'yellow'}
consumer_device_13_data_user_4,{'red'}
consumer_device_13_data_user_5,{'blue'}
consumer_device_13_data_user_6,{'yellow'}
consumer_device_13_data_user_7,{'red'}
consumer_device_13_data_user_8,{'blue'}
consumer_device_13_data_user_9,{'yellow'}
consumer_device_16_data_user_1,{'red'}
consumer_device_16_data_user_10,{'red'}
consumer_device_16_data_user_11,{'blue'}
consumer_device_16_data_user_12,{'yellow'}
consumer_device_16_data_user_13,{'red'}
consumer_device_16_data_user_14,{'blue'}
consumer_device_16_data_user_15,{'yellow'}
consumer_device_16_data_user_16,{'red'}
consumer_device_16_data_user_17,{'blue'}
consumer_device_16_data_user_18,{'yellow'}
consumer_device_16_data_user_2,{'blue'}
consumer_device_16_data_user_3,{'yellow'}
consumer_device_16_data_user_4,{'red'}
consumer_device_16_data_user_5,{'blue'}
consumer_device_16_data_user_6,{'yellow'}
consumer_device_16_data_user_7,{'red'}
consumer_device_16_data_user_8,{'blue'}
consumer_device_16_data_user_9,{'yellow'}
consumer_device_18_data_user_1,{'red'}
consumer_device_18_data_user_10,{'red'}
consumer_device_18_data_user_11,{'blue'}
consumer_device_18_data_user_12,{'yellow'}
consumer_device_18_data_user_13,{'red'}
consumer_device_18_data_user_14,{'blue'}
consumer_device_18_data_user_15,{'yellow'}
consumer_device_18_data_user_16,{'red'}
consumer_device_18_data_user_17,{'blue'}
consumer_device_18_data_user_18,{'yellow'}
consumer_device_18_data_user_2,{'blue'}
consumer_device_18_data_user_3,{'yellow'}
consumer_device_18_data_user_4,{'red'}
consumer_device_18_data_user_5,{'blue'}
consumer_device_18_data_user_6,{'yellow'}
consumer_device_18_data_user_7,{'red'}
consumer_device_18_data_user_8,{'blue'}
consumer_device_18_data_user_9,{'yellow'}
consumer_device_19_data_user_1,{'red'}
consumer_device_19_data_user_10,{'red'}
consumer_device_19_data_user_11,{'blue'}
consumer_device_19_data_user_12,{'red'}
consumer_device_19_data_user_13,{'blue'}
consumer_device_19_data_user_14,{'yellow'}
consumer_device_19_data_user_15,{'red'}
consumer_device_19_data_user_16,{'blue'}
consumer_device_19_data_user_17,{'yellow'}
consumer_device_19_data_user_2,{'blue'}
consumer_device_19_data_user_3,{'yellow'}
consumer_device_19_data_user_4,{'red'}
consumer_device_19_data_user_5,{'blue'}
consumer_device_19_data_user_6,{'yellow'}
consumer_device_19_data_user_7,{'red'}
consumer_device_19_data_user_8,{'blue'}
consumer_device_19_data_user_9,{'yellow'}
consumer_device_1_data_user_1,{'red'}
consumer_device_1_data_user_2,{'blue'}
consumer_device_1_data_user_3,{'yellow'}
consumer_device_1_data_user_4,{'red'}
consumer_device_1_data_user_5,{'blue'}
consumer_device_1_data_user_6,{'yellow'}
consumer_device_1_data_user_7,{'yellow'}
consumer_device_1_data_user_8,{'red'}
consumer_device_1_data_user_9,{'red'}
consumer_device_20_data_user_1,{'red'}
consumer_device_20_data_user_10,{'red'}
consumer_device_20_data_user_11,{'blue'}
consumer_device_20_data_user_12,{'yellow'}
consumer_device_20_data_user_13,{'red'}
consumer_device_20_data_user_14,{'yellow'}
consumer_device_20_data_user_15,{'red'}
consumer_device_20_data_user_16,{'yellow'}
consumer_device_20_data_user_2,{'blue'}
consumer_device_20_data_user_3,{'yellow'}
consumer_device_20_data_user_4,{'red'}
consumer_device_20_data_user_5,{'blue'}
consumer_device_20_data_user_6,{'yellow'}
consumer_device_20_data_user_7,{'red'}
consumer_device_20_data_user_8,{'blue'}
consumer_device_20_data_user_9,{'yellow'}
