Source,Voltage
consumer_device_10_data_user_1,{'redconsumer_device_10'}
consumer_device_10_data_user_10,{'redconsumer_device_10'}
consumer_device_10_data_user_11,{'blueconsumer_device_10'}
consumer_device_10_data_user_12,{'yellowconsumer_device_10'}
consumer_device_10_data_user_13,{'redconsumer_device_10'}
consumer_device_10_data_user_14,{'blueconsumer_device_10'}
consumer_device_10_data_user_15,{'yellowconsumer_device_10'}
consumer_device_10_data_user_16,{'redconsumer_device_10'}
consumer_device_10_data_user_17,{'blueconsumer_device_10'}
consumer_device_10_data_user_18,{'yellowconsumer_device_10'}
consumer_device_10_data_user_2,{'blueconsumer_device_10'}
consumer_device_10_data_user_3,{'yellowconsumer_device_10'}
consumer_device_10_data_user_4,{'redconsumer_device_10'}
consumer_device_10_data_user_5,{'blueconsumer_device_10'}
consumer_device_10_data_user_6,{'yellowconsumer_device_10'}
consumer_device_10_data_user_7,{'redconsumer_device_10'}
consumer_device_10_data_user_8,{'blueconsumer_device_10'}
consumer_device_10_data_user_9,{'yellowconsumer_device_10'}
consumer_device_12_data_user_1,{'redconsumer_device_12'}
consumer_device_12_data_user_10,{'blueconsumer_device_12'}
consumer_device_12_data_user_11,{'blueconsumer_device_12'}
consumer_device_12_data_user_12,{'yellowconsumer_device_12'}
consumer_device_12_data_user_13,{'redconsumer_device_12'}
consumer_device_12_data_user_14,{'blueconsumer_device_12'}
consumer_device_12_data_user_15,{'yellowconsumer_device_12'}
consumer_device_12_data_user_2,{'blueconsumer_device_12'}
consumer_device_12_data_user_3,{'yellowconsumer_device_12'}
consumer_device_12_data_user_4,{'redconsumer_device_12'}
consumer_device_12_data_user_5,{'blueconsumer_device_12'}
consumer_device_12_data_user_6,{'yellowconsumer_device_12'}
consumer_device_12_data_user_7,{'blueconsumer_device_12'}
consumer_device_12_data_user_8,{'yellowconsumer_device_12'}
consumer_device_12_data_user_9,{'redconsumer_device_12'}
consumer_device_13_data_user_1,{'redconsumer_device_13'}
consumer_device_13_data_user_10,{'redconsumer_device_13'}
consumer_device_13_data_user_11,{'blueconsumer_device_13'}
consumer_device_13_data_user_12,{'yellowconsumer_device_13'}
consumer_device_13_data_user_13,{'redconsumer_device_13'}
consumer_device_13_data_user_14,{'blueconsumer_device_13'}
consumer_device_13_data_user_15,{'yellowconsumer_device_13'}
consumer_device_13_data_user_16,{'redconsumer_device_13'}
consumer_device_13_data_user_17,{'blueconsumer_device_13'}
consumer_device_13_data_user_18,{'yellowconsumer_device_13'}
consumer_device_13_data_user_2,{'blueconsumer_device_13'}
consumer_device_13_data_user_3,{'yellowconsumer_device_13'}
consumer_device_13_data_user_4,{'redconsumer_device_13'}
consumer_device_13_data_user_5,{'blueconsumer_device_13'}
consumer_device_13_data_user_6,{'yellowconsumer_device_13'}
consumer_device_13_data_user_7,{'redconsumer_device_13'}
consumer_device_13_data_user_8,{'blueconsumer_device_13'}
consumer_device_13_data_user_9,{'yellowconsumer_device_13'}
consumer_device_16_data_user_1,{'redconsumer_device_16'}
consumer_device_16_data_user_10,{'redconsumer_device_16'}
consumer_device_16_data_user_11,{'blueconsumer_device_16'}
consumer_device_16_data_user_12,{'yellowconsumer_device_16'}
consumer_device_16_data_user_13,{'redconsumer_device_16'}
consumer_device_16_data_user_14,{'blueconsumer_device_16'}
consumer_device_16_data_user_15,{'yellowconsumer_device_16'}
consumer_device_16_data_user_16,{'redconsumer_device_16'}
consumer_device_16_data_user_17,{'blueconsumer_device_16'}
consumer_device_16_data_user_18,{'yellowconsumer_device_16'}
consumer_device_16_data_user_2,{'blueconsumer_device_16'}
consumer_device_16_data_user_3,{'yellowconsumer_device_16'}
consumer_device_16_data_user_4,{'redconsumer_device_16'}
consumer_device_16_data_user_5,{'blueconsumer_device_16'}
consumer_device_16_data_user_6,{'yellowconsumer_device_16'}
consumer_device_16_data_user_7,{'redconsumer_device_16'}
consumer_device_16_data_user_8,{'blueconsumer_device_16'}
consumer_device_16_data_user_9,{'yellowconsumer_device_16'}
consumer_device_18_data_user_1,{'redconsumer_device_18'}
consumer_device_18_data_user_10,{'redconsumer_device_18'}
consumer_device_18_data_user_11,{'blueconsumer_device_18'}
consumer_device_18_data_user_12,{'yellowconsumer_device_18'}
consumer_device_18_data_user_13,{'redconsumer_device_18'}
consumer_device_18_data_user_14,{'blueconsumer_device_18'}
consumer_device_18_data_user_15,{'yellowconsumer_device_18'}
consumer_device_18_data_user_16,{'redconsumer_device_18'}
consumer_device_18_data_user_17,{'blueconsumer_device_18'}
consumer_device_18_data_user_18,{'yellowconsumer_device_18'}
consumer_device_18_data_user_2,{'blueconsumer_device_18'}
consumer_device_18_data_user_3,{'yellowconsumer_device_18'}
consumer_device_18_data_user_4,{'redconsumer_device_18'}
consumer_device_18_data_user_5,{'blueconsumer_device_18'}
consumer_device_18_data_user_6,{'yellowconsumer_device_18'}
consumer_device_18_data_user_7,{'redconsumer_device_18'}
consumer_device_18_data_user_8,{'blueconsumer_device_18'}
consumer_device_18_data_user_9,{'yellowconsumer_device_18'}
